customer_id,age,city,plan,acquisition_channel,join_date,monthly_income_pln,tenure_months,avg_logins_last_30d,support_tickets_last_30d,satisfaction_score,auto_renew,discount_pct,monthly_spend_pln,churned
C000001,32,Poznań,Basic,referral,2022-05-21,7500.94,37,15,1,9,1,5,149.74,0
C000002,38,Łódź,Standard,paid_search,2024-11-26,5549.57,7,0,0,6,1,0,94.5,0
C000003,39,Warszawa,Basic,referral,2023-05-25,13992.16,25,9,3,6,1,0,127.67,0
C000004,39,Warszawa,Standard,organic,2022-09-29,8370.21,33,8,0,7,1,15,175.89,0
C000005,38,Gdańsk,Premium,referral,2025-06-07,9492.17,1,14,0,7,1,0,167.46,1
C000006,37,Poznań,Basic,social,2024-12-12,8599.25,6,14,0,9,1,20,64.16,0
C000007,39,KRAKÓW,Basic,paid_search,2023-04-04,7715.51,27,11,1,8,0,10,111.21,0
C000008,42,Wrocław,Premium,referral,2023-01-25,9261.57,29,8,0,8,1,0,206.84,0
C000009,41,Poznań,Basic,paid_search,2023-05-28,10797.59,25,15,0,8,1,5,119.61,0
C000010,25,,Standard,referral,2022-01-04,9301.27,42,17,2,7,1,0,208.3,0
C000011,47,Katowice,Standard,partner,2022-06-04,5938.39,37,12,1,9,1,0,181.43,0
C000012,51,Łódź,Basic,social,2022-09-11,12464.61,34,15,0,7,1,0,152.33,0
C000013,20,Kraków,Standard,social,2024-03-17,7630.72,15,12,1,8,1,0,135.36,0
C000014,32,Poznań,Basic,organic,2023-05-12,7647.82,26,9,2,7,1,20,136.37,0
C000015,32,Kraków,Standard,paid_search,2022-12-12,7935.52,31,12,0,8,1,10,135.5,0
C000016,48,Lublin,Standard,partner,2022-03-23,8836.35,39,12,1,5,1,0,177.27,0
C000017,20,Warszawa,Basic,paid_search,2022-12-31,10872.58,30,12,0,9,1,0,140.51,0
C000018,37,Poznań,Standard,partner,2025-04-14,2650.43,2,5,4,8,1,15,86.84,1
C000019,38,Warszawa,Basic,organic,2023-08-23,5563.92,22,5,1,8,1,0,117.0,0
C000020,26,Kraków,Standard,social,2024-03-14,11801.91,15,15,0,8,1,10,151.44,0
C000021,20,Katowice,Standard,paid_search,2025-03-27,9928.96,3,7,1,7,0,20,73.09,1
C000022,37,Katowice,Standard,referral,2023-04-18,7315.88,26,13,0,7,1,0,146.05,0
C000023,39,Lublin,Premium,referral,2025-03-03,6808.79,4,18,2,8,1,0,162.83,0
C000024,28,Katowice,Basic,referral,2023-07-29,2553.98,23,13,0,9,1,20,110.33,0
C000025,33,Lublin,Standard,organic,2024-11-20,5853.94,7,2,1,8,1,15,98.93,1
C000026,19,Łódź,Standard,organic,2022-10-25,4736.05,32,12,0,9,1,0,174.89,0
C000027,36,Gdańsk,Standard,paid_search,2023-06-24,6517.92,24,7,0,9,1,0,159.1,0
C000028,45,Kraków,Basic,organic,2023-06-06,8165.34,25,9,1,8,1,0,122.26,0
C000029,42,Warszawa,Basic,organic,2025-05-21,9294.87,1,13,0,10,1,20,72.99,0
C000030,48,Wrocław,Premium,paid_search,2023-01-31,10580.49,29,13,0,9,0,20,212.15,0
C000031,20,Gdańsk,Basic,organic,2025-06-03,12747.03,1,14,0,9,1,0,95.38,0
C000032,44,,Premium,organic,2022-05-18,5460.69,38,7,0,8,1,0,202.2,0
C000033,42,Łódź ,Standard,paid_search,2025-05-13,8172.17,1,8,1,8,0,0,98.4,0
C000034,37,Wrocław,Basic,referral,2023-11-15,6519.48,19,8,1,10,1,15,107.98,0
C000035,38,Gdańsk,Standard,organic,2023-10-21,6348.99,20,18,2,8,0,0,132.71,0
C000036,33,Gdańsk,Premium,partner,2022-09-04,6076.01,34,27,0,8,1,5,212.38,0
C000037,58,Gdańsk,Standard,partner,2024-10-31,6498.53,8,5,2,8,1,0,112.17,0
C000038,46,Wrocław,Basic,organic,2025-03-12,8613.76,3,5,1,8,1,5,69.0,0
C000039,29,Lublin,Basic,paid_search,2023-09-26,6138.26,21,13,1,9,0,20,82.92,0
C000040,29,Gdańsk,Basic,paid_search,2023-12-29,11698.89,18,11,0,6,1,5,134.09,0
C000041,44,Gdańsk,Premium,partner,2025-05-05,7465.11,1,12,0,10,1,10,144.63,0
C000042,31,Warszawa,Standard,paid_search,2025-05-12,10228.94,1,3,1,9,1,20,118.07,0
C000043,36,Kraków,Basic,organic,2022-08-26,10416.78,34,14,0,8,1,0,140.43,0
C000044,43,Kraków,Premium,social,2025-05-12,8536.08,1,12,0,7,0,0,124.18,0
C000045,43,Kraków,Premium,referral,2024-08-26,8628.64,10,18,2,9,0,15,169.28,0
C000046,37,Katowice,Standard,organic,2023-03-24,10742.66,27,15,0,7,1,10,165.32,0
C000047,31,Wrocław,Premium,referral,2023-05-17,,25,14,0,7,1,0,182.94,0
C000048,39,Łódź,Standard,organic,2022-06-03,21456.55,37,17,0,8,1,10,195.12,1
C000049,45,Poznań,Standard,organic,2022-08-13,18914.3,35,11,0,9,1,0,186.63,0
C000050,54,Katowice,Basic,organic,2025-06-07,8511.8,1,6,0,7,1,0,76.52,0
C000051,31,Warszawa,Basic,partner,2023-10-02,7334.93,21,2,0,6,0,0,118.34,1
C000052,57,Warszawa,Premium,partner,2023-09-12,16761.72,21,6,5,7,1,10,176.83,1
C000053,34,Gdańsk, Standard,organic,2024-08-31,7538.16,10,5,0,,1,0,129.34,0
C000054,30,Łódź,Premium,organic,2024-01-14,3299.31,17,13,1,8,1,0,188.03,0
C000055,25,Kraków,Standard,organic,2023-06-26,8640.96,24,16,6,6,1,0,171.27,0
C000056,21,Kraków,Basic,social,2025-03-23,9294.27,3,9,0,8,1,0,69.82,0
C000057,34,Katowice,Premium,partner,2023-03-31,15903.5,27,17,1,6,1,0,191.81,0
C000058,26,Katowice,Standard,paid_search,2025-06-28,7480.31,1,3,0,7,1,0,85.86,0
C000059,23,Lublin,Premium,paid_search,2023-01-09,22878.79,30,12,0,8,1,20,191.63,0
C000060,33,Poznań,Premium,paid_search,2024-03-01,7254.02,16,18,0,9,1,0,182.83,0
C000061,48,Wrocław,Standard,paid_search,2022-03-05,10214.28,40,0,0,8,1,10,179.49,0
C000062,40,Lublin,Premium,paid_search,2023-04-18,7288.6,26,21,2,,1,5,204.0,0
C000063,24,Poznań,Standard,organic,2023-04-15,8040.64,26,14,2,8,1,0,164.04,0
C000064,26,Lublin,Basic,organic,2024-01-16,8914.16,17,8,0,8,1,0,83.44,0
C000065,39,Lublin,Premium,referral,2024-12-27,6167.47,6,7,1,7,0,20,115.54,0
C000066,29,Wrocław,Basic,partner,2025-06-21,5182.08,1,8,1,6,0,5,43.68,0
